date,timestamp,cash,position_size,current_price,total_equity
2026-01-05,2026-01-05T04:52:46.177982,100000,0.0,92400.21875,100000
2026-01-06,2026-01-06T02:24:14.793527,100000,0.0,93717.3671875,100000
2026-01-07,2026-01-07T02:24:19.235348,100000,0.0,92521.78125,100000
2026-01-08,2026-01-08T02:24:19.488114,100000,0.0,91233.921875,100000
2026-01-09,2026-01-09T02:24:54.330215,100000,0.0,91354.546875,100000
2026-01-10,2026-01-10T02:20:39.329852,100000,0.0,90592.234375,100000
2026-01-11,2026-01-11T02:35:41.746749,100000,0.0,90558.390625,100000
2026-01-12,2026-01-12T02:30:52.476839,100000,0.0,91588.390625,100000
2026-01-13,2026-01-13T02:22:19.689288,100000,0.0,91178.609375,100000
2026-01-14,2026-01-14T02:29:50.809015,100000,0.0,95350.171875,100000
2026-01-15,2026-01-15T02:24:04.233642,100000,0.0,96467.5,100000
2026-01-16,2026-01-16T02:25:37.277047,100000,0.0,95418.0859375,100000
2026-01-17,2026-01-17T02:18:25.989806,100000,0.0,95236.2734375,100000
2026-01-18,2026-01-18T02:33:56.185490,100000,0.0,94965.2109375,100000
2026-01-19,2026-01-19T02:31:23.141589,100000,0.0,92456.578125,100000
2026-01-20,2026-01-20T02:26:13.118612,100000,0.0,92407.0390625,100000
2026-01-21,2026-01-21T02:28:43.854038,100000,0.0,89109.515625,100000
2026-01-22,2026-01-22T02:30:15.745555,100000,0.0,90254.0546875,100000
2026-01-23,2026-01-23T02:25:56.205781,100000,0.0,89737.6328125,100000
2026-01-24,2026-01-24T02:21:37.398504,100000,0.0,89524.6171875,100000
2026-01-25,2026-01-25T02:38:13.140416,100000,0.0,89045.6015625,100000
2026-01-26,2026-01-26T02:37:04.650379,100000,0.0,87796.921875,100000
2026-01-27,2026-01-27T02:32:06.658125,100000,0.0,88485.6171875,100000
2026-01-28,2026-01-28T02:28:33.490141,100000,0.0,89189.171875,100000
2026-01-29,2026-01-29T02:46:17.598098,100000,0.0,88032.40625,100000
2026-01-30,2026-01-30T02:47:06.902687,100000,0.0,81889.1953125,100000
2026-01-31,2026-01-31T02:42:36.244374,100000,0.0,83892.6015625,100000
2026-02-01,2026-02-01T03:24:29.723262,100000,0.0,78708.359375,100000
2026-02-02,2026-02-02T03:14:18.849427,100000,0.0,76212.515625,100000
2026-02-03,2026-02-03T02:52:33.847249,100000,0.0,77983.0,100000
2026-02-04,2026-02-04T02:47:49.856980,100000,0.0,75877.890625,100000
2026-02-05,2026-02-05T02:49:58.953207,100000,0.0,72262.5078125,100000
